Metric,Unit,Value
Emissions,Million tonnes of CO2-eq.,10.0
Total system cost,Billion $,20.0
Cost of electricity,$/MWh,9.0
Fossil energy share,%,1.06
Renewable energy share,%,98.94
Clean energy share,%,98.94
