REGION,COUNTRY,YEAR,VALUE
GLOBAL,KEN,2021,58.616177866416066
GLOBAL,KEN,2022,21.607663710739207
GLOBAL,KEN,2023,9.181331171862078
GLOBAL,KEN,2024,46.43985663799468
GLOBAL,KEN,2025,14.904965367737685
GLOBAL,KEN,2026,25.723328058006324
GLOBAL,KEN,2027,21.695247427083682
GLOBAL,KEN,2028,18.54899859593439
GLOBAL,KEN,2029,15.941247145627099
GLOBAL,KEN,2030,13.64966188573315
GLOBAL,KEN,2031,12.79502923397975
GLOBAL,KEN,2032,13.546754168604885
GLOBAL,KEN,2033,9.35883157966297
GLOBAL,KEN,2034,8.034051802367257
GLOBAL,KEN,2035,6.897470109415987
GLOBAL,KEN,2036,6.472828962130039
GLOBAL,KEN,2037,5.528648128224214
GLOBAL,KEN,2038,4.733255153943968
GLOBAL,KEN,2039,4.044104782994542
GLOBAL,KEN,2040,3.451969610466002
GLOBAL,KEN,2041,3.3248226186487635
GLOBAL,KEN,2042,2.8105428340070087
GLOBAL,KEN,2043,2.3746686139174056
GLOBAL,KEN,2044,2.004130735928894
GLOBAL,KEN,2045,1.7649072835268134
GLOBAL,KEN,2046,1.5441321396883771
GLOBAL,KEN,2047,1.2643114529588433
GLOBAL,KEN,2048,1.0869512462578228
GLOBAL,KEN,2049,0.8088594376210636
GLOBAL,KEN,2050,0.6348750521236997
GLOBAL,TZA,2021,286.1770900400425
GLOBAL,TZA,2022,42.67172106565462
GLOBAL,TZA,2023,39.39367357671497
GLOBAL,TZA,2024,136.59940328572813
GLOBAL,TZA,2025,31.141405581638885
GLOBAL,TZA,2026,24.70062140379551
GLOBAL,TZA,2027,24.635849516151467
GLOBAL,TZA,2028,18.069583276656115
GLOBAL,TZA,2029,15.500607282986586
GLOBAL,TZA,2030,14.016993517774836
GLOBAL,TZA,2031,12.976532393012741
GLOBAL,TZA,2032,12.421016272043381
GLOBAL,TZA,2033,9.461941038563422
GLOBAL,TZA,2034,8.09627453377952
GLOBAL,TZA,2035,6.9498245945473816
GLOBAL,TZA,2036,6.626360801364409
GLOBAL,TZA,2037,5.638530318456853
GLOBAL,TZA,2038,4.810456465390141
GLOBAL,TZA,2039,4.102034202921794
GLOBAL,TZA,2040,3.580526166696164
GLOBAL,TZA,2041,3.2884581421301844
GLOBAL,TZA,2042,2.8314411878493098
GLOBAL,TZA,2043,2.4315966709773056
GLOBAL,TZA,2044,1.9939214057841776
GLOBAL,TZA,2045,1.6658037580388196
GLOBAL,TZA,2046,1.537021240269073
GLOBAL,TZA,2047,1.2577369713969428
GLOBAL,TZA,2048,1.0132820486400134
GLOBAL,TZA,2049,0.8151109022457441
GLOBAL,TZA,2050,0.6406899092009649
