TECH,COUNTRY,YEAR,VALUE
BIO,KEN,2021,0.09
BIO,KEN,2022,0.09
BIO,KEN,2023,0.09
BIO,KEN,2024,0.2585320578443538
BIO,KEN,2025,0.295452382949537
BIO,KEN,2026,0.3328148376888855
BIO,KEN,2027,0.3701772924282351
BIO,KEN,2028,0.4075397471675836
BIO,KEN,2029,0.4449899071997487
BIO,KEN,2030,0.4823523619390963
BIO,KEN,2031,0.5253279554186308
BIO,KEN,2032,0.5653146504713393
BIO,KEN,2033,0.609266688845356
BIO,KEN,2034,0.6532175516378915
BIO,KEN,2035,0.697081884719096
BIO,KEN,2036,0.7473100515343438
BIO,KEN,2037,0.7970389525606604
BIO,KEN,2038,0.8468555588797928
BIO,KEN,2039,0.896584459906109
BIO,KEN,2040,0.9464010662252436
BIO,KEN,2041,1.0082332976600776
BIO,KEN,2042,1.0699778238021025
BIO,KEN,2043,1.1318100552369383
BIO,KEN,2044,1.1936422866717775
BIO,KEN,2045,1.2540410535444555
BIO,KEN,2046,1.3315725323932457
BIO,KEN,2047,1.41043122319973
BIO,KEN,2048,1.508742721569618
BIO,KEN,2049,1.5862742004184085
BIO,KEN,2050,1.6638056792672005
BIO,TZA,2021,0.1460772038541109
BIO,TZA,2022,0.1706316647501548
BIO,TZA,2023,0.1758762855274893
BIO,TZA,2024,0.1758762855274893
BIO,TZA,2025,0.1758762855274893
BIO,TZA,2026,0.1758762855274893
BIO,TZA,2027,0.1758762855274893
BIO,TZA,2028,0.1758762855274893
BIO,TZA,2029,0.1758762855274893
BIO,TZA,2030,0.1758762855274893
BIO,TZA,2031,0.1758762855274893
BIO,TZA,2032,0.1058762855274892
BIO,TZA,2033,0.1058762855274892
BIO,TZA,2034,0.1058762855274892
BIO,TZA,2035,0.1058762855274892
BIO,TZA,2036,0.1058762855274892
BIO,TZA,2037,0.1058762855274892
BIO,TZA,2038,0.1058762855274892
BIO,TZA,2039,0.1058762855274892
BIO,TZA,2040,0.1058762855274892
BIO,TZA,2041,0.1058762855274892
BIO,TZA,2042,0.1058762855274892
BIO,TZA,2043,0.1058762855274892
BIO,TZA,2044,0.1058762855274892
BIO,TZA,2045,0.1058762855274892
BIO,TZA,2046,0.1058762855274892
BIO,TZA,2047,0.1058762855274892
BIO,TZA,2048,0.1058762855274892
BIO,TZA,2049,0.1058762855274892
BIO,TZA,2050,0.1058762855274892
CCG,TZA,2021,0.208
CCG,TZA,2022,0.208
CCG,TZA,2023,0.22569246963533518
CCG,TZA,2024,0.3177384726329094
CCG,TZA,2025,0.2439569829854026
CCG,TZA,2026,0.2524707654743162
CCG,TZA,2027,0.2609315383604718
CCG,TZA,2028,0.2694453208493865
CCG,TZA,2029,0.2779013164386897
CCG,TZA,2030,0.2864150989276025
CCG,TZA,2031,0.298121768199837
CCG,TZA,2032,0.3496714691853976
CCG,TZA,2033,0.3609056560438422
CCG,TZA,2034,0.3720874519570924
CCG,TZA,2035,0.3833794257151461
CCG,TZA,2036,0.3979425035679921
CCG,TZA,2037,0.4127269451616908
CCG,TZA,2038,0.4275066094585355
CCG,TZA,2039,0.4423440606549912
CCG,TZA,2040,0.4571237249518329
CCG,TZA,2041,0.4726271492513832
CCG,TZA,2042,0.4881883604505388
CCG,TZA,2043,0.5036917847500934
CCG,TZA,2044,0.5192482186523942
CCG,TZA,2045,0.5338602944519406
CCG,TZA,2046,0.5525903220269428
CCG,TZA,2047,0.5700379473173377
CCG,TZA,2048,0.5700379473173377
CCG,TZA,2049,0.588714965289516
CCG,TZA,2050,0.6074449928645764
GEO,KEN,2021,1.0719809557387063
GEO,KEN,2022,1.1318860702756302
GEO,KEN,2023,1.1318860702756302
GEO,KEN,2024,1.1318860702756302
GEO,KEN,2025,1.1519522833674818
GEO,KEN,2026,1.28435392143888
GEO,KEN,2027,1.4167555595102772
GEO,KEN,2028,1.5491571975816751
GEO,KEN,2029,1.6818696376203763
GEO,KEN,2030,1.814271275691776
GEO,KEN,2031,1.966564239670612
GEO,KEN,2032,2.1222446093363927
GEO,KEN,2033,2.2739596356808662
GEO,KEN,2034,2.425675837606821
GEO,KEN,2035,2.577080061983988
GEO,KEN,2036,2.753204018916403
GEO,KEN,2037,2.92942873437763
GEO,KEN,2038,3.10596425180616
GEO,KEN,2039,3.2821889672673863
GEO,KEN,2040,3.4587244846959138
