Metric,Unit,Value
Emissions,Million tonnes of CO2-eq.,31422.0
Total system cost,Billion $,1628.0
Cost of electricity,$/MWh,16.0
Fossil energy share,%,40.75
Renewable energy share,%,55.76
Clean energy share,%,59.25
