REGION,NODE,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,INDEA,2021,7.5,7.5,92.5
GLOBAL,INDEA,2022,6.9,6.9,93.1
GLOBAL,INDEA,2023,6.4,6.4,93.6
GLOBAL,INDEA,2024,33.1,33.1,66.9
GLOBAL,INDEA,2025,48.6,48.6,51.4
GLOBAL,INDEA,2026,47.8,47.8,52.2
GLOBAL,INDEA,2027,46.8,46.8,53.2
GLOBAL,INDEA,2028,45.8,45.8,54.2
GLOBAL,INDEA,2029,43.6,43.6,56.4
GLOBAL,INDEA,2030,43.7,43.7,56.3
GLOBAL,INDEA,2031,46.7,46.7,53.3
GLOBAL,INDEA,2032,48.0,48.0,52.0
GLOBAL,INDEA,2033,49.4,49.4,50.6
GLOBAL,INDEA,2034,47.9,47.9,52.1
GLOBAL,INDEA,2035,46.8,46.8,53.2
GLOBAL,INDEA,2036,46.5,46.5,53.5
GLOBAL,INDEA,2037,46.2,46.2,53.8
GLOBAL,INDEA,2038,45.9,45.9,54.1
GLOBAL,INDEA,2039,45.6,45.6,54.4
GLOBAL,INDEA,2040,45.4,45.4,54.6
GLOBAL,INDEA,2041,45.1,45.1,54.9
GLOBAL,INDEA,2042,44.9,44.9,55.1
GLOBAL,INDEA,2043,44.7,44.7,55.3
GLOBAL,INDEA,2044,45.2,45.2,54.8
GLOBAL,INDEA,2045,46.6,46.6,53.4
GLOBAL,INDEA,2046,49.2,49.2,50.8
GLOBAL,INDEA,2047,49.5,49.5,50.5
GLOBAL,INDEA,2048,50.8,50.8,49.2
GLOBAL,INDEA,2049,54.0,54.0,46.0
GLOBAL,INDEA,2050,53.9,53.9,46.1
GLOBAL,INDNE,2021,45.7,45.7,54.3
GLOBAL,INDNE,2022,46.2,46.2,53.8
GLOBAL,INDNE,2023,64.7,64.7,35.3
GLOBAL,INDNE,2024,100.0,100.0,0.0
GLOBAL,INDNE,2025,100.0,100.0,0.0
GLOBAL,INDNE,2026,100.0,100.0,0.0
GLOBAL,INDNE,2027,100.0,100.0,0.0
GLOBAL,INDNE,2028,100.0,100.0,0.0
GLOBAL,INDNE,2029,100.0,100.0,0.0
GLOBAL,INDNE,2030,100.0,100.0,0.0
GLOBAL,INDNE,2031,100.0,100.0,0.0
GLOBAL,INDNE,2032,100.0,100.0,0.0
GLOBAL,INDNE,2033,100.0,100.0,0.0
GLOBAL,INDNE,2034,100.0,100.0,0.0
GLOBAL,INDNE,2035,100.0,100.0,0.0
GLOBAL,INDNE,2036,100.0,100.0,0.0
GLOBAL,INDNE,2037,100.0,100.0,0.0
GLOBAL,INDNE,2038,100.0,100.0,0.0
GLOBAL,INDNE,2039,100.0,100.0,0.0
GLOBAL,INDNE,2040,100.0,100.0,0.0
GLOBAL,INDNE,2041,100.0,100.0,0.0
GLOBAL,INDNE,2042,100.0,100.0,0.0
GLOBAL,INDNE,2043,100.0,100.0,0.0
GLOBAL,INDNE,2044,100.0,100.0,0.0
GLOBAL,INDNE,2045,100.0,100.0,0.0
GLOBAL,INDNE,2046,100.0,100.0,0.0
GLOBAL,INDNE,2047,100.0,100.0,0.0
GLOBAL,INDNE,2048,100.0,100.0,0.0
GLOBAL,INDNE,2049,100.0,100.0,0.0
GLOBAL,INDNE,2050,100.0,100.0,0.0
GLOBAL,INDNO,2021,27.4,23.8,72.6
GLOBAL,INDNO,2022,26.9,22.2,73.1
GLOBAL,INDNO,2023,27.6,22.0,72.4
GLOBAL,INDNO,2024,59.7,54.2,40.3
GLOBAL,INDNO,2025,65.6,61.7,34.4
GLOBAL,INDNO,2026,64.7,60.9,35.3
GLOBAL,INDNO,2027,63.8,60.0,36.2
GLOBAL,INDNO,2028,64.2,58.8,35.8
GLOBAL,INDNO,2029,64.0,58.5,36.0
GLOBAL,INDNO,2030,64.2,58.8,35.8
GLOBAL,INDNO,2031,62.9,57.6,37.1
GLOBAL,INDNO,2032,61.9,56.6,38.1
GLOBAL,INDNO,2033,61.0,55.8,39.0
GLOBAL,INDNO,2034,60.7,55.7,39.3
GLOBAL,INDNO,2035,60.4,55.6,39.6
GLOBAL,INDNO,2036,60.1,55.4,39.9
GLOBAL,INDNO,2037,59.8,55.3,40.2
GLOBAL,INDNO,2038,59.5,55.1,40.5
GLOBAL,INDNO,2039,59.1,55.0,40.9
GLOBAL,INDNO,2040,58.9,54.8,41.1
GLOBAL,INDNO,2041,58.5,54.7,41.5
GLOBAL,INDNO,2042,58.2,54.6,41.8
GLOBAL,INDNO,2043,57.9,54.5,42.1
GLOBAL,INDNO,2044,57.5,54.3,42.5
GLOBAL,INDNO,2045,57.3,54.2,42.7
GLOBAL,INDNO,2046,57.9,55.1,42.1
GLOBAL,INDNO,2047,59.2,56.4,40.8
GLOBAL,INDNO,2048,59.1,56.4,40.9
GLOBAL,INDNO,2049,58.9,56.3,41.1
GLOBAL,INDNO,2050,58.8,56.3,41.2
GLOBAL,INDSO,2021,23.9,17.3,76.1
GLOBAL,INDSO,2022,22.9,16.0,77.1
GLOBAL,INDSO,2023,25.1,15.3,74.9
GLOBAL,INDSO,2024,37.3,28.3,62.7
GLOBAL,INDSO,2025,46.5,38.4,53.5
GLOBAL,INDSO,2026,58.9,48.1,41.1
GLOBAL,INDSO,2027,61.1,49.8,38.9
GLOBAL,INDSO,2028,62.9,52.0,37.1
GLOBAL,INDSO,2029,64.4,53.8,35.6
GLOBAL,INDSO,2030,65.3,54.8,34.7
GLOBAL,INDSO,2031,60.9,51.7,39.1
GLOBAL,INDSO,2032,59.1,50.4,40.9
GLOBAL,INDSO,2033,58.7,50.4,41.3
GLOBAL,INDSO,2034,58.3,50.4,41.7
GLOBAL,INDSO,2035,57.9,50.5,42.1
GLOBAL,INDSO,2036,57.5,50.5,42.5
GLOBAL,INDSO,2037,57.2,50.5,42.8
GLOBAL,INDSO,2038,56.9,50.5,43.1
GLOBAL,INDSO,2039,56.6,50.5,43.4
GLOBAL,INDSO,2040,56.3,50.5,43.7
GLOBAL,INDSO,2041,56.0,50.5,44.0
GLOBAL,INDSO,2042,55.8,50.5,44.2
GLOBAL,INDSO,2043,55.6,50.5,44.4
GLOBAL,INDSO,2044,55.1,50.3,44.9
GLOBAL,INDSO,2045,54.2,49.6,45.8
GLOBAL,INDSO,2046,52.6,48.1,47.4
GLOBAL,INDSO,2047,51.3,47.0,48.7
GLOBAL,INDSO,2048,50.1,45.9,49.9
GLOBAL,INDSO,2049,49.2,45.1,50.8
GLOBAL,INDSO,2050,50.9,46.9,49.1
GLOBAL,INDWE,2021,17.9,12.3,82.1
GLOBAL,INDWE,2022,17.2,11.8,82.8
GLOBAL,INDWE,2023,16.3,11.3,83.7
GLOBAL,INDWE,2024,46.4,40.5,53.6
GLOBAL,INDWE,2025,58.6,54.1,41.4
GLOBAL,INDWE,2026,58.3,53.8,41.7
GLOBAL,INDWE,2027,56.8,52.5,43.2
GLOBAL,INDWE,2028,54.7,50.5,45.3
GLOBAL,INDWE,2029,53.4,49.5,46.6
GLOBAL,INDWE,2030,51.7,48.2,48.3
GLOBAL,INDWE,2031,55.4,52.0,44.6
GLOBAL,INDWE,2032,55.1,51.9,44.9
GLOBAL,INDWE,2033,54.8,51.8,45.2
GLOBAL,INDWE,2034,55.2,52.2,44.8
GLOBAL,INDWE,2035,55.3,52.5,44.7
GLOBAL,INDWE,2036,55.1,52.4,44.9
GLOBAL,INDWE,2037,54.9,52.4,45.1
GLOBAL,INDWE,2038,54.8,52.3,45.2
GLOBAL,INDWE,2039,54.6,52.3,45.4
