YEAR,VALUE
2021,778.39
2022,784.94
2023,776.37
2024,504.24
2025,408.9
2026,379.95
2027,381.32
2028,381.99
2029,385.15
2030,381.41
2031,352.14
2032,346.09
2033,335.3
2034,328.59
2035,321.29
2036,312.64
2037,304.17
2038,295.61
2039,288.35
2040,282.13
2041,272.06
2042,266.18
2043,259.16
2044,253.5
2045,246.19
2046,235.97
2047,224.9
2048,213.42
2049,202.36
2050,189.24
