REGION,NODE,YEAR,VALUE
GLOBAL,INDSO,2050,1283.4444417593224
GLOBAL,INDWE,2021,6487.862563903722
GLOBAL,INDWE,2022,5952.449971537192
GLOBAL,INDWE,2023,5479.675277978314
GLOBAL,INDWE,2024,41451.789557393095
GLOBAL,INDWE,2025,38198.81068585066
GLOBAL,INDWE,2026,7042.781928046957
GLOBAL,INDWE,2027,4816.543422008145
GLOBAL,INDWE,2028,4381.720758212897
GLOBAL,INDWE,2029,5237.167547646894
GLOBAL,INDWE,2030,4605.239629925526
GLOBAL,INDWE,2031,6443.127877218307
GLOBAL,INDWE,2032,5177.263288195721
GLOBAL,INDWE,2033,4565.368641944295
GLOBAL,INDWE,2034,4146.7331559646855
GLOBAL,INDWE,2035,4214.407918926953
GLOBAL,INDWE,2036,4382.76859543914
GLOBAL,INDWE,2037,3873.839123372777
GLOBAL,INDWE,2038,3471.9472729840054
GLOBAL,INDWE,2039,3172.2104523253697
GLOBAL,INDWE,2040,2844.567382303886
GLOBAL,INDWE,2041,2922.5059871748
GLOBAL,INDWE,2042,2507.1024389646386
GLOBAL,INDWE,2043,2356.6098683454493
GLOBAL,INDWE,2044,2177.894967903301
GLOBAL,INDWE,2045,2204.14809609288
GLOBAL,INDWE,2046,1993.1436779657538
GLOBAL,INDWE,2047,1939.668981275638
GLOBAL,INDWE,2048,1626.9811564616405
GLOBAL,INDWE,2049,1280.0991581214248
GLOBAL,INDWE,2050,1035.7585993347604
