REGION,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,2021,21.0,16.4,79.0
GLOBAL,2022,20.3,15.5,79.7
GLOBAL,2023,21.2,15.3,78.8
GLOBAL,2024,48.8,43.1,51.2
GLOBAL,2025,58.5,53.9,41.5
GLOBAL,2026,61.4,56.1,38.6
GLOBAL,2027,61.3,55.7,38.7
GLOBAL,2028,61.2,55.3,38.8
GLOBAL,2029,60.9,55.2,39.1
GLOBAL,2030,61.3,55.8,38.7
GLOBAL,2031,61.4,56.3,38.6
GLOBAL,2032,61.1,56.3,38.9
GLOBAL,2033,61.2,56.7,38.8
GLOBAL,2034,61.3,57.0,38.7
GLOBAL,2035,61.4,57.3,38.6
GLOBAL,2036,61.4,57.5,38.6
GLOBAL,2037,61.4,57.7,38.6
GLOBAL,2038,61.4,57.9,38.6
GLOBAL,2039,61.4,58.0,38.6
GLOBAL,2040,61.4,58.2,38.6
GLOBAL,2041,61.4,58.3,38.6
GLOBAL,2042,61.3,58.4,38.7
GLOBAL,2043,61.2,58.4,38.8
GLOBAL,2044,61.0,58.3,39.0
GLOBAL,2045,61.0,58.4,39.0
GLOBAL,2046,60.8,58.4,39.2
GLOBAL,2047,60.7,58.5,39.3
GLOBAL,2048,60.7,58.5,39.3
GLOBAL,2049,60.7,58.6,39.3
GLOBAL,2050,61.2,59.1,38.8
