REGION,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,YEAR,VALUE
GLOBAL,SDSKENXX01,2,1,1,2021,0.0009953651628793
GLOBAL,SDSKENXX01,2,1,1,2022,0.0010633939199999995
GLOBAL,SDSKENXX01,2,1,1,2025,0.001124
GLOBAL,SDSKENXX01,2,1,1,2029,0.001124
GLOBAL,SDSKENXX01,2,1,1,2032,0.001124
GLOBAL,SDSKENXX01,2,1,1,2034,0.001124
GLOBAL,SDSKENXX01,2,1,1,2036,0.001124
GLOBAL,SDSKENXX01,2,1,1,2037,0.001124
GLOBAL,SDSKENXX01,2,1,1,2040,0.001124
GLOBAL,SDSKENXX01,2,1,1,2041,0.001124
GLOBAL,SDSKENXX01,2,1,1,2042,0.001124
GLOBAL,SDSKENXX01,2,1,1,2043,0.001124
GLOBAL,SDSKENXX01,2,1,1,2044,0.001124
GLOBAL,SDSKENXX01,2,1,1,2045,0.001124
GLOBAL,SDSKENXX01,2,1,1,2046,0.001124
GLOBAL,SDSKENXX01,2,1,2,2038,0.001124
GLOBAL,SDSKENXX01,2,1,2,2039,0.001124
GLOBAL,SDSKENXX01,2,1,3,2024,0.001124
GLOBAL,SDSKENXX01,2,1,3,2026,0.001124
GLOBAL,SDSKENXX01,2,1,3,2027,0.001124
GLOBAL,SDSKENXX01,2,1,3,2028,0.001124
GLOBAL,SDSKENXX01,2,1,3,2030,0.001124
GLOBAL,SDSKENXX01,2,1,3,2031,0.001124
GLOBAL,SDSKENXX01,2,1,3,2033,0.001124
GLOBAL,SDSKENXX01,2,1,3,2035,0.001124
GLOBAL,SDSKENXX01,2,1,4,2021,-0.0009953651628793472
GLOBAL,SDSKENXX01,2,1,4,2022,-0.00106339392
GLOBAL,SDSKENXX01,2,1,4,2024,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2025,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2026,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2027,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2028,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2029,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2030,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2031,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2032,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2033,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2034,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2035,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2036,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2037,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2038,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2039,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2040,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2041,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2042,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2043,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2044,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2045,-0.001124
GLOBAL,SDSKENXX01,2,1,4,2046,-0.001124
GLOBAL,SDSKENXX01,3,1,1,2021,0.00105393312
GLOBAL,SDSKENXX01,3,1,1,2022,0.00105393312
GLOBAL,SDSKENXX01,3,1,1,2024,0.001114
GLOBAL,SDSKENXX01,3,1,1,2025,0.001114
GLOBAL,SDSKENXX01,3,1,1,2026,0.001114000000000003
GLOBAL,SDSKENXX01,3,1,1,2027,0.001114
GLOBAL,SDSKENXX01,3,1,1,2029,0.001114000000000003
GLOBAL,SDSKENXX01,3,1,1,2031,0.001114
GLOBAL,SDSKENXX01,3,1,1,2032,0.001114
GLOBAL,SDSKENXX01,3,1,1,2034,0.001114
GLOBAL,SDSKENXX01,3,1,1,2043,0.001114
GLOBAL,SDSKENXX01,3,1,2,2028,0.001114
GLOBAL,SDSKENXX01,3,1,2,2030,0.001114
GLOBAL,SDSKENXX01,3,1,2,2040,0.001114
GLOBAL,SDSKENXX01,3,1,3,2023,0.001114
GLOBAL,SDSKENXX01,3,1,3,2033,0.001114
GLOBAL,SDSKENXX01,3,1,3,2035,0.001114
GLOBAL,SDSKENXX01,3,1,3,2036,0.001114
GLOBAL,SDSKENXX01,3,1,3,2037,0.001114
GLOBAL,SDSKENXX01,3,1,3,2038,0.001114
GLOBAL,SDSKENXX01,3,1,3,2039,0.001114
GLOBAL,SDSKENXX01,3,1,3,2041,0.001114
GLOBAL,SDSKENXX01,3,1,3,2042,0.001114
GLOBAL,SDSKENXX01,3,1,3,2044,0.001114
GLOBAL,SDSKENXX01,3,1,3,2045,0.001114
GLOBAL,SDSKENXX01,3,1,3,2046,0.001114
GLOBAL,SDSKENXX01,3,1,4,2021,-0.00105393312
GLOBAL,SDSKENXX01,3,1,4,2022,-0.00105393312
GLOBAL,SDSKENXX01,3,1,4,2023,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2024,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2025,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2026,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2027,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2028,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2029,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2030,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2031,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2032,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2033,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2034,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2035,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2036,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2037,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2038,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2039,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2040,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2041,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2042,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2043,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2044,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2045,-0.001114
GLOBAL,SDSKENXX01,3,1,4,2046,-0.001114
GLOBAL,LDSTZAXX01,2,1,1,2049,1.2570500196318337e-13
GLOBAL,LDSTZAXX01,2,1,4,2049,-1.2570500196318337e-13
