REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D2,MINGASINT,1,2044,14747.964886357424
GLOBAL,S2D2,MINGASINT,1,2044,14302.738081958105
GLOBAL,S1D2,MINGASINT,1,2045,16254.537921632138
GLOBAL,S2D2,MINGASINT,1,2045,15802.162811150549
GLOBAL,S1D2,MINGASINT,1,2046,18352.548550077783
GLOBAL,S2D2,MINGASINT,1,2046,17900.38424131418
GLOBAL,S1D2,MINGASINT,1,2047,20627.885478265533
GLOBAL,S2D2,MINGASINT,1,2047,20207.26853333692
GLOBAL,S1D2,MINGASINT,1,2048,23053.108036977454
GLOBAL,S2D2,MINGASINT,1,2048,22641.39294421117
GLOBAL,S1D2,MINGASINT,1,2049,25490.799548024872
GLOBAL,S2D2,MINGASINT,1,2049,25050.25806330385
GLOBAL,S1D2,MINGASINT,1,2050,27825.768930623843
GLOBAL,S2D2,MINGASINT,1,2050,26999.91940132937
GLOBAL,S1D2,MINURNINT,1,2021,516.6732096000001
GLOBAL,S1D1,MINURNINT,1,2021,308.2531976597013
GLOBAL,S2D2,MINURNINT,1,2021,516.6732096000001
GLOBAL,S2D1,MINURNINT,1,2021,516.6732096
GLOBAL,S1D2,MINURNINT,1,2022,600.6851136
GLOBAL,S1D1,MINURNINT,1,2022,358.37566882388046
GLOBAL,S2D2,MINURNINT,1,2022,600.6851136
GLOBAL,S2D1,MINURNINT,1,2022,600.6851135999999
GLOBAL,S1D2,MINURNINT,1,2023,789.7118976
GLOBAL,S1D1,MINURNINT,1,2023,789.7118976
GLOBAL,S2D2,MINURNINT,1,2023,789.7118976
GLOBAL,S2D1,MINURNINT,1,2023,476.4584673738992
GLOBAL,S1D2,MINURNINT,1,2024,838.7188416000001
GLOBAL,S1D1,MINURNINT,1,2024,838.7188416000001
GLOBAL,S2D2,MINURNINT,1,2024,533.021928008668
GLOBAL,S2D1,MINURNINT,1,2024,811.7228390469448
GLOBAL,S1D2,MINURNINT,1,2025,838.7188416000001
GLOBAL,S1D1,MINURNINT,1,2025,747.8586739697349
GLOBAL,S2D2,MINURNINT,1,2025,838.7188416000001
GLOBAL,S2D1,MINURNINT,1,2025,595.3723576473727
GLOBAL,S1D2,MINURNINT,1,2026,1006.7426496
GLOBAL,S1D1,MINURNINT,1,2026,700.713194296212
GLOBAL,S2D2,MINURNINT,1,2026,1006.7426496
GLOBAL,S2D1,MINURNINT,1,2026,908.3310550335942
GLOBAL,S1D2,MINURNINT,1,2027,1076.7525696
GLOBAL,S1D1,MINURNINT,1,2027,1020.0005483731942
GLOBAL,S2D2,MINURNINT,1,2027,1076.7525696
GLOBAL,S2D1,MINURNINT,1,2027,705.4458226826066
GLOBAL,S1D2,MINURNINT,1,2028,1174.7664576
GLOBAL,S1D1,MINURNINT,1,2028,870.1788418033973
GLOBAL,S2D2,MINURNINT,1,2028,1174.7664576
GLOBAL,S2D1,MINURNINT,1,2028,1008.2873786471154
GLOBAL,S1D2,MINURNINT,1,2029,1174.7664576
GLOBAL,S1D1,MINURNINT,1,2029,848.483981651592
GLOBAL,S2D2,MINURNINT,1,2029,1174.7664576
GLOBAL,S2D1,MINURNINT,1,2029,1029.6208012239997
GLOBAL,S1D2,MINURNINT,1,2030,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2030,1071.1151102302035
GLOBAL,S2D2,MINURNINT,1,2030,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2030,775.1522310747027
GLOBAL,S1D2,MINURNINT,1,2031,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2031,972.8122408834597
GLOBAL,S2D2,MINURNINT,1,2031,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2031,871.8173691590256
GLOBAL,S1D2,MINURNINT,1,2032,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2032,806.1798313442723
GLOBAL,S2D2,MINURNINT,1,2032,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2032,1035.673673501606
GLOBAL,S1D2,MINURNINT,1,2033,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2033,957.0257807495254
GLOBAL,S2D2,MINURNINT,1,2033,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2033,887.3408259904508
GLOBAL,S1D2,MINURNINT,1,2034,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2034,949.0255988987742
GLOBAL,S2D2,MINURNINT,1,2034,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2034,895.2077243672902
GLOBAL,S1D2,MINURNINT,1,2035,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2035,993.5330222813587
GLOBAL,S2D2,MINURNINT,1,2035,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2035,851.4417971299134
GLOBAL,S1D2,MINURNINT,1,2036,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2036,988.4757947195544
GLOBAL,S2D2,MINURNINT,1,2036,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2036,856.4147709996923
GLOBAL,S1D2,MINURNINT,1,2037,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2037,983.4459060376972
GLOBAL,S2D2,MINURNINT,1,2037,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2037,861.360861456782
GLOBAL,S1D2,MINURNINT,1,2038,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2038,795.4025303932026
GLOBAL,S2D2,MINURNINT,1,2038,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2038,1046.2714240203295
GLOBAL,S1D2,MINURNINT,1,2039,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2039,786.200507312308
GLOBAL,S2D2,MINURNINT,1,2039,1152.3632831999998
GLOBAL,S2D1,MINURNINT,1,2039,1055.3201408856758
GLOBAL,S1D2,MINURNINT,1,2040,1152.3632832
GLOBAL,S1D1,MINURNINT,1,2040,963.2371555140084
GLOBAL,S2D2,MINURNINT,1,2040,1152.3632831999998
