REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWRCOAINDEA01,CO2IND,2037,161.02559484416764
GLOBAL,PWRCOAINDEA01,CO2IND,2038,165.45897191566348
GLOBAL,PWRCOAINDEA01,CO2IND,2039,169.45022200037428
GLOBAL,PWRCOAINDEA01,CO2IND,2040,173.2650142650761
GLOBAL,PWRCOAINDEA01,CO2IND,2041,178.90737353035172
GLOBAL,PWRCOAINDEA01,CO2IND,2042,184.73350675511162
GLOBAL,PWRCOAINDEA01,CO2IND,2043,190.54732129677228
GLOBAL,PWRCOAINDEA01,CO2IND,2044,190.13418445502242
GLOBAL,PWRCOAINDEA01,CO2IND,2045,183.83772152779298
GLOBAL,PWRCOAINDEA01,CO2IND,2046,172.195145676
GLOBAL,PWRCOAINDEA01,CO2IND,2047,151.73190831600002
GLOBAL,PWRCOAINDEA01,CO2IND,2048,143.041453956
GLOBAL,PWRCOAINDEA01,CO2IND,2049,133.52048326800002
GLOBAL,PWRCOAINDEA01,CO2IND,2050,118.13452614
GLOBAL,PWRCOAINDNE01,CO2IND,2021,5.798524319999999
GLOBAL,PWRCOAINDNE01,CO2IND,2022,5.798524319999999
GLOBAL,PWRCOAINDNE01,CO2IND,2023,5.798524319999999
GLOBAL,PWRCOAINDNO01,CO2IND,2021,239.30286506987267
GLOBAL,PWRCOAINDNO01,CO2IND,2022,271.57424405233695
GLOBAL,PWRCOAINDNO01,CO2IND,2023,296.16541662734573
GLOBAL,PWRCOAINDNO01,CO2IND,2024,168.03177427884918
GLOBAL,PWRCOAINDNO01,CO2IND,2025,201.19652303457428
GLOBAL,PWRCOAINDNO01,CO2IND,2026,209.4907904846196
GLOBAL,PWRCOAINDNO01,CO2IND,2027,218.4027974846196
GLOBAL,PWRCOAINDNO01,CO2IND,2028,220.46184626878207
GLOBAL,PWRCOAINDNO01,CO2IND,2029,222.70698969726845
GLOBAL,PWRCOAINDNO01,CO2IND,2030,220.10189182488
GLOBAL,PWRCOAINDNO01,CO2IND,2031,202.29087306167997
GLOBAL,PWRCOAINDNO01,CO2IND,2032,202.29087306167997
GLOBAL,PWRCOAINDNO01,CO2IND,2033,193.23398299608
GLOBAL,PWRCOAINDNO01,CO2IND,2034,190.1168384544
GLOBAL,PWRCOAINDNO01,CO2IND,2035,188.30027024639998
GLOBAL,PWRCOAINDNO01,CO2IND,2036,187.2189796464
GLOBAL,PWRCOAINDNO01,CO2IND,2037,185.22940494239998
GLOBAL,PWRCOAINDNO01,CO2IND,2038,184.1481143424
GLOBAL,PWRCOAINDNO01,CO2IND,2039,182.05041057839998
GLOBAL,PWRCOAINDNO01,CO2IND,2040,180.1257133104
GLOBAL,PWRCOAINDNO01,CO2IND,2041,173.27033090639998
GLOBAL,PWRCOAINDNO01,CO2IND,2042,171.4537626984
GLOBAL,PWRCOAINDNO01,CO2IND,2043,169.6588203024
GLOBAL,PWRCOAINDNO01,CO2IND,2044,165.63641927039998
GLOBAL,PWRCOAINDNO01,CO2IND,2045,160.6278812112
GLOBAL,PWRCOAINDNO01,CO2IND,2046,145.87907742719997
GLOBAL,PWRCOAINDNO01,CO2IND,2047,129.733246188
GLOBAL,PWRCOAINDNO01,CO2IND,2048,114.227538984
