REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCTZAXX02,S1D1,2046,0.1
GLOBAL,ELCTZAXX02,S1D1,2047,0.1
GLOBAL,ELCTZAXX02,S1D1,2048,0.1
GLOBAL,ELCTZAXX02,S1D1,2049,0.1
GLOBAL,ELCTZAXX02,S1D1,2050,0.1
GLOBAL,ELCKENXX02,S1D2,2021,0.12
GLOBAL,ELCKENXX02,S1D2,2022,0.12
GLOBAL,ELCKENXX02,S1D2,2023,0.12
GLOBAL,ELCKENXX02,S1D2,2024,0.12
GLOBAL,ELCKENXX02,S1D2,2025,0.12
GLOBAL,ELCKENXX02,S1D2,2026,0.12
GLOBAL,ELCKENXX02,S1D2,2027,0.12
GLOBAL,ELCKENXX02,S1D2,2028,0.12
GLOBAL,ELCKENXX02,S1D2,2029,0.12
GLOBAL,ELCKENXX02,S1D2,2030,0.12
GLOBAL,ELCKENXX02,S1D2,2031,0.12
GLOBAL,ELCKENXX02,S1D2,2032,0.12
GLOBAL,ELCKENXX02,S1D2,2033,0.12
GLOBAL,ELCKENXX02,S1D2,2034,0.12
GLOBAL,ELCKENXX02,S1D2,2035,0.12
GLOBAL,ELCKENXX02,S1D2,2036,0.12
GLOBAL,ELCKENXX02,S1D2,2037,0.12
GLOBAL,ELCKENXX02,S1D2,2038,0.12
GLOBAL,ELCKENXX02,S1D2,2039,0.12
GLOBAL,ELCKENXX02,S1D2,2040,0.12
GLOBAL,ELCKENXX02,S1D2,2041,0.12
GLOBAL,ELCKENXX02,S1D2,2042,0.12
GLOBAL,ELCKENXX02,S1D2,2043,0.12
GLOBAL,ELCKENXX02,S1D2,2044,0.12
GLOBAL,ELCKENXX02,S1D2,2045,0.12
GLOBAL,ELCKENXX02,S1D2,2046,0.12
GLOBAL,ELCKENXX02,S1D2,2047,0.12
GLOBAL,ELCKENXX02,S1D2,2048,0.12
GLOBAL,ELCKENXX02,S1D2,2049,0.12
GLOBAL,ELCKENXX02,S1D2,2050,0.12
GLOBAL,ELCTZAXX02,S1D2,2021,0.12
GLOBAL,ELCTZAXX02,S1D2,2022,0.12
GLOBAL,ELCTZAXX02,S1D2,2023,0.12
GLOBAL,ELCTZAXX02,S1D2,2024,0.12
GLOBAL,ELCTZAXX02,S1D2,2025,0.12
GLOBAL,ELCTZAXX02,S1D2,2026,0.12
GLOBAL,ELCTZAXX02,S1D2,2027,0.12
GLOBAL,ELCTZAXX02,S1D2,2028,0.12
GLOBAL,ELCTZAXX02,S1D2,2029,0.12
GLOBAL,ELCTZAXX02,S1D2,2030,0.12
