YEAR,VALUE
2021,7.6
2022,8.25
2023,9.21
2024,8.52
2025,8.6
2026,8.55
2027,8.57
2028,8.69
2029,8.54
2030,8.39
2031,8.43
2032,9.0
2033,8.96
2034,8.97
2035,8.97
2036,8.97
2037,8.98
2038,8.99
2039,8.99
2040,8.99
2041,8.99
2042,8.97
2043,8.89
2044,8.83
2045,8.43
2046,8.38
2047,8.33
2048,8.32
2049,8.28
2050,8.24
