YEAR,MONTH,HOUR,NODE_1,NODE_2,VALUE
2021,5,16.0,KENXX,TZAXX,-0.01
2021,5,17.0,KENXX,TZAXX,-0.01
2021,5,18.0,KENXX,TZAXX,-0.01
2021,5,19.0,KENXX,TZAXX,-0.01
2021,5,20.0,KENXX,TZAXX,0.0
2021,5,21.0,KENXX,TZAXX,0.0
2021,5,22.0,KENXX,TZAXX,0.0
2021,5,23.0,KENXX,TZAXX,0.0
2021,5,24.0,KENXX,TZAXX,0.0
2021,6,1.0,KENXX,TZAXX,-0.02
2021,6,2.0,KENXX,TZAXX,-0.02
2021,6,3.0,KENXX,TZAXX,-0.02
2021,6,4.0,KENXX,TZAXX,-0.02
2021,6,5.0,KENXX,TZAXX,-0.02
2021,6,6.0,KENXX,TZAXX,-0.02
2021,6,7.0,KENXX,TZAXX,-0.02
2021,6,8.0,KENXX,TZAXX,0.02
2021,6,9.0,KENXX,TZAXX,0.02
2021,6,10.0,KENXX,TZAXX,0.02
2021,6,11.0,KENXX,TZAXX,0.02
2021,6,12.0,KENXX,TZAXX,-0.02
2021,6,13.0,KENXX,TZAXX,-0.02
2021,6,14.0,KENXX,TZAXX,-0.02
2021,6,15.0,KENXX,TZAXX,-0.02
2021,6,16.0,KENXX,TZAXX,-0.01
2021,6,17.0,KENXX,TZAXX,-0.01
2021,6,18.0,KENXX,TZAXX,-0.01
2021,6,19.0,KENXX,TZAXX,-0.01
2021,6,20.0,KENXX,TZAXX,0.0
2021,6,21.0,KENXX,TZAXX,0.0
2021,6,22.0,KENXX,TZAXX,0.0
2021,6,23.0,KENXX,TZAXX,0.0
2021,6,24.0,KENXX,TZAXX,0.0
2021,7,1.0,KENXX,TZAXX,-0.02
2021,7,2.0,KENXX,TZAXX,-0.02
2021,7,3.0,KENXX,TZAXX,-0.02
2021,7,4.0,KENXX,TZAXX,-0.02
2021,7,5.0,KENXX,TZAXX,-0.02
2021,7,6.0,KENXX,TZAXX,-0.02
2021,7,7.0,KENXX,TZAXX,-0.02
2021,7,8.0,KENXX,TZAXX,0.02
2021,7,9.0,KENXX,TZAXX,0.02
2021,7,10.0,KENXX,TZAXX,0.02
2021,7,11.0,KENXX,TZAXX,0.02
2021,7,12.0,KENXX,TZAXX,-0.02
2021,7,13.0,KENXX,TZAXX,-0.02
2021,7,14.0,KENXX,TZAXX,-0.02
2021,7,15.0,KENXX,TZAXX,-0.02
2021,7,16.0,KENXX,TZAXX,-0.01
2021,7,17.0,KENXX,TZAXX,-0.01
2021,7,18.0,KENXX,TZAXX,-0.01
2021,7,19.0,KENXX,TZAXX,-0.01
2021,7,20.0,KENXX,TZAXX,0.0
2021,7,21.0,KENXX,TZAXX,0.0
2021,7,22.0,KENXX,TZAXX,0.0
2021,7,23.0,KENXX,TZAXX,0.0
2021,7,24.0,KENXX,TZAXX,0.0
2021,8,1.0,KENXX,TZAXX,-0.02
2021,8,2.0,KENXX,TZAXX,-0.02
2021,8,3.0,KENXX,TZAXX,-0.02
2021,8,4.0,KENXX,TZAXX,-0.02
2021,8,5.0,KENXX,TZAXX,-0.02
2021,8,6.0,KENXX,TZAXX,-0.02
2021,8,7.0,KENXX,TZAXX,-0.02
2021,8,8.0,KENXX,TZAXX,0.02
2021,8,9.0,KENXX,TZAXX,0.02
2021,8,10.0,KENXX,TZAXX,0.02
2021,8,11.0,KENXX,TZAXX,0.02
2021,8,12.0,KENXX,TZAXX,-0.02
2021,8,13.0,KENXX,TZAXX,-0.02
2021,8,14.0,KENXX,TZAXX,-0.02
2021,8,15.0,KENXX,TZAXX,-0.02
2021,8,16.0,KENXX,TZAXX,-0.01
2021,8,17.0,KENXX,TZAXX,-0.01
2021,8,18.0,KENXX,TZAXX,-0.01
2021,8,19.0,KENXX,TZAXX,-0.01
2021,8,20.0,KENXX,TZAXX,0.0
2021,8,21.0,KENXX,TZAXX,0.0
2021,8,22.0,KENXX,TZAXX,0.0
2021,8,23.0,KENXX,TZAXX,0.0
2021,8,24.0,KENXX,TZAXX,0.0
2021,9,1.0,KENXX,TZAXX,-0.02
2021,9,2.0,KENXX,TZAXX,-0.02
2021,9,3.0,KENXX,TZAXX,-0.02
2021,9,4.0,KENXX,TZAXX,-0.02
2021,9,5.0,KENXX,TZAXX,-0.02
2021,9,6.0,KENXX,TZAXX,-0.02
2021,9,7.0,KENXX,TZAXX,-0.02
2021,9,8.0,KENXX,TZAXX,-0.02
2021,9,9.0,KENXX,TZAXX,-0.02
2021,9,10.0,KENXX,TZAXX,-0.02
2021,9,11.0,KENXX,TZAXX,-0.02
2021,9,12.0,KENXX,TZAXX,-0.02
2021,9,13.0,KENXX,TZAXX,-0.02
2021,9,14.0,KENXX,TZAXX,-0.02
2021,9,15.0,KENXX,TZAXX,-0.02
2021,9,16.0,KENXX,TZAXX,-0.02
2021,9,17.0,KENXX,TZAXX,-0.02
2021,9,18.0,KENXX,TZAXX,-0.02
2021,9,19.0,KENXX,TZAXX,-0.02
2021,9,20.0,KENXX,TZAXX,0.0
2021,9,21.0,KENXX,TZAXX,0.0
2021,9,22.0,KENXX,TZAXX,0.0
2021,9,23.0,KENXX,TZAXX,0.0
2021,9,24.0,KENXX,TZAXX,0.0
2021,10,1.0,KENXX,TZAXX,-0.02
2021,10,2.0,KENXX,TZAXX,-0.02
2021,10,3.0,KENXX,TZAXX,-0.02
2021,10,4.0,KENXX,TZAXX,-0.02
2021,10,5.0,KENXX,TZAXX,-0.02
2021,10,6.0,KENXX,TZAXX,-0.02
2021,10,7.0,KENXX,TZAXX,-0.02
2021,10,8.0,KENXX,TZAXX,-0.02
2021,10,9.0,KENXX,TZAXX,-0.02
2021,10,10.0,KENXX,TZAXX,-0.02
2021,10,11.0,KENXX,TZAXX,-0.02
2021,10,12.0,KENXX,TZAXX,-0.02
2021,10,13.0,KENXX,TZAXX,-0.02
2021,10,14.0,KENXX,TZAXX,-0.02
2021,10,15.0,KENXX,TZAXX,-0.02
2021,10,16.0,KENXX,TZAXX,-0.02
2021,10,17.0,KENXX,TZAXX,-0.02
2021,10,18.0,KENXX,TZAXX,-0.02
2021,10,19.0,KENXX,TZAXX,-0.02
2021,10,20.0,KENXX,TZAXX,0.0
2021,10,21.0,KENXX,TZAXX,0.0
2021,10,22.0,KENXX,TZAXX,0.0
2021,10,23.0,KENXX,TZAXX,0.0
2021,10,24.0,KENXX,TZAXX,0.0
2021,11,1.0,KENXX,TZAXX,-0.02
2021,11,2.0,KENXX,TZAXX,-0.02
2021,11,3.0,KENXX,TZAXX,-0.02
2021,11,4.0,KENXX,TZAXX,-0.02
2021,11,5.0,KENXX,TZAXX,-0.02
2021,11,6.0,KENXX,TZAXX,-0.02
2021,11,7.0,KENXX,TZAXX,-0.02
2021,11,8.0,KENXX,TZAXX,-0.02
2021,11,9.0,KENXX,TZAXX,-0.02
