TECH,NODE,YEAR,VALUE
BIO,KENXX,2021,0.09
BIO,KENXX,2022,0.09
BIO,KENXX,2023,0.09
BIO,KENXX,2024,0.09
BIO,KENXX,2025,0.09
BIO,KENXX,2026,0.09
BIO,KENXX,2027,0.09
BIO,KENXX,2028,0.09
BIO,KENXX,2029,0.09
BIO,KENXX,2030,0.09
BIO,KENXX,2031,0.09
BIO,TZAXX,2021,0.1119082600066861
BIO,TZAXX,2022,0.1119082600066861
BIO,TZAXX,2023,0.1119082600066861
BIO,TZAXX,2024,0.1119082600066861
BIO,TZAXX,2025,0.1119082600066861
BIO,TZAXX,2026,0.1119082600066861
BIO,TZAXX,2027,0.1119082600066861
BIO,TZAXX,2028,0.1119082600066861
BIO,TZAXX,2029,0.1809980628219868
BIO,TZAXX,2030,0.2711087592923126
BIO,TZAXX,2031,0.3104123609442685
BIO,TZAXX,2032,0.3497159625962278
BIO,TZAXX,2033,0.3890195642481631
BIO,TZAXX,2034,0.4283231659001257
BIO,TZAXX,2035,0.4676267675520664
BIO,TZAXX,2036,0.5069303692040278
BIO,TZAXX,2037,0.5462339708559819
BIO,TZAXX,2038,0.5855375725079297
BIO,TZAXX,2039,0.6248411741598731
BIO,TZAXX,2040,0.6641447758118144
BIO,TZAXX,2041,0.7211829294286604
BIO,TZAXX,2042,0.7782210830455246
BIO,TZAXX,2043,0.8352592366623659
BIO,TZAXX,2044,0.892297390279218
BIO,TZAXX,2045,0.9493355438960848
BIO,TZAXX,2046,1.0063736975129316
BIO,TZAXX,2047,1.0634118511298036
BIO,TZAXX,2048,1.1204500047466537
BIO,TZAXX,2049,1.1774881583635093
BIO,TZAXX,2050,1.234526311980355
CCG,TZAXX,2021,1.02
CCG,TZAXX,2022,1.1
CCG,TZAXX,2023,1.15
CCG,TZAXX,2024,1.15
CCG,TZAXX,2025,1.15
CCG,TZAXX,2026,1.15
CCG,TZAXX,2027,1.338611606851298
CCG,TZAXX,2028,1.8702289923866353
CCG,TZAXX,2029,2.3641147331728085
CCG,TZAXX,2030,2.8465204456569544
CCG,TZAXX,2031,3.0569314479106775
CCG,TZAXX,2032,3.2673424501643864
CCG,TZAXX,2033,3.4777534524181157
CCG,TZAXX,2034,3.6881644546718295
CCG,TZAXX,2035,3.8985754569255535
CCG,TZAXX,2036,4.108986459179272
CCG,TZAXX,2037,4.319397461432994
CCG,TZAXX,2038,4.529808463686716
CCG,TZAXX,2039,4.740219465940429
CCG,TZAXX,2040,4.950630468194159
CCG,TZAXX,2041,5.255983020245294
CCG,TZAXX,2042,5.561335572296434
CCG,TZAXX,2043,5.866688124347565
CCG,TZAXX,2044,6.157823482331837
CCG,TZAXX,2045,6.3509925422687985
CCG,TZAXX,2046,6.5887241092027775
CCG,TZAXX,2047,6.826455676136742
CCG,TZAXX,2048,7.055588407229088
CCG,TZAXX,2049,7.293319974163037
CCG,TZAXX,2050,7.53105154109703
GEO,KENXX,2021,1.0463785813959483
GEO,KENXX,2022,1.0962658572588304
GEO,KENXX,2023,1.0962658572588304
GEO,KENXX,2024,1.152005328189618
GEO,KENXX,2025,1.2021148103581452
GEO,KENXX,2026,3.324603347464405
GEO,KENXX,2027,5.4633196950548495
GEO,KENXX,2028,7.602036042645298
GEO,KENXX,2029,9.740752390235736
GEO,KENXX,2030,11.879468737826189
GEO,KENXX,2031,12.808583216697448
GEO,KENXX,2032,13.778546476589208
GEO,KENXX,2033,14.707660955460463
GEO,KENXX,2034,15.636775434331728
GEO,KENXX,2035,16.565889913202987
GEO,KENXX,2036,17.495004392074243
GEO,KENXX,2037,18.424118870945502
GEO,KENXX,2038,19.353233349816765
GEO,KENXX,2039,20.28234782868802
GEO,KENXX,2040,21.211462307559284
GEO,KENXX,2041,22.61389925679892
GEO,KENXX,2042,24.01633620603855
GEO,KENXX,2043,25.41877315527819
GEO,KENXX,2044,26.821210104517817
GEO,KENXX,2045,28.298640950082785
GEO,KENXX,2046,29.70107789932242
GEO,KENXX,2047,31.10351484856206
GEO,KENXX,2048,32.56869126954539
GEO,KENXX,2049,33.97112821878503
GEO,KENXX,2050,35.37356516802468
GEO,TZAXX,2021,0.7829185507053229
GEO,TZAXX,2022,0.8856898137053663
GEO,TZAXX,2023,1.013371154242568
GEO,TZAXX,2024,1.9932825893583488
