REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGHNDXX01,30.0
GLOBAL,PWRCOAGINXX01,30.0
GLOBAL,PWRCCSBGDXX01,30.0
GLOBAL,PWRWOFCHNSX01,30.0
GLOBAL,PWRURNUSASA01,60.0
GLOBAL,PWRCOGTGOXX01,30.0
GLOBAL,PWRWASBRAJ201,30.0
GLOBAL,PWRCOGMMRXX01,30.0
GLOBAL,PWROTHGHAXX01,30.0
GLOBAL,PWRCOGJPNOK01,30.0
GLOBAL,PWRCCGCHNHJ01,30.0
GLOBAL,PWRCOAKENXX01,30.0
GLOBAL,PWRCSPMYSXX01,30.0
GLOBAL,PWRGEOESHXX01,30.0
GLOBAL,PWRGEOCHNGD01,30.0
GLOBAL,PWRHYDMDGXX01,100.0
GLOBAL,PWRPETTLSXX01,30.0
GLOBAL,PWRGEOGBRXX01,30.0
GLOBAL,PWRHYDBDIXX01,100.0
GLOBAL,PWRBIOINDSO01,30.0
GLOBAL,PWROCGCHNXI00,30.0
GLOBAL,PWROCGPERXX01,30.0
GLOBAL,PWRCCGMNEXX00,30.0
GLOBAL,PWROCGNZLXX01,30.0
GLOBAL,PWROILMOZXX01,30.0
GLOBAL,PWRURNCANAR01,60.0
GLOBAL,PWRCCGCHNTJ00,30.0
GLOBAL,PWRCCGGNBXX01,30.0
GLOBAL,PWRCOGCHNCH01,30.0
GLOBAL,PWRSPVBRAJ201,30.0
GLOBAL,PWROTHCANAR01,30.0
GLOBAL,PWRCCGPNGXX01,30.0
GLOBAL,PWRCCGIRNXX00,30.0
GLOBAL,PWROCGDNKXX01,30.0
GLOBAL,PWRCOGCRIXX01,30.0
GLOBAL,PWROTHCHNSC01,30.0
GLOBAL,PWROILCHNHB01,30.0
GLOBAL,PWRCSPUSAER01,30.0
GLOBAL,PWROCGATAXX01,30.0
GLOBAL,PWRBIOMOZXX01,30.0
GLOBAL,PWRCOGVENXX01,30.0
GLOBAL,PWRURNUSAAK01,60.0
GLOBAL,PWRCCSUSASC01,30.0
GLOBAL,PWRURNUGAXX01,60.0
GLOBAL,PWRURNIRQXX01,60.0
GLOBAL,PWROILMDGXX01,30.0
GLOBAL,PWRWAVJPNTO01,20.0
GLOBAL,PWRBIOTURXX01,30.0
GLOBAL,PWRCCSSWEXX01,30.0
GLOBAL,PWRPETSWEXX01,30.0
GLOBAL,PWRCCGBRASE01,30.0
GLOBAL,PWRPETARGXX01,30.0
GLOBAL,PWRCCGCOLXX00,30.0
GLOBAL,PWRCCGKOSXX01,30.0
GLOBAL,PWRCCSINDNE01,30.0
GLOBAL,PWRWAVCANQC01,20.0
GLOBAL,PWRCOACHNZH01,30.0
GLOBAL,PWROILSDNXX01,30.0
GLOBAL,PWROILATAXX01,30.0
GLOBAL,PWRCCSUSAME01,30.0
GLOBAL,PWRWASUSASS01,30.0
GLOBAL,PWRHYDAUSWA01,100.0
GLOBAL,PWRGEOGEOXX01,30.0
GLOBAL,PWRCSPDEUXX01,30.0
GLOBAL,PWRCOGKHMXX01,30.0
GLOBAL,PWRWONUSASC01,30.0
GLOBAL,PWRCSPNPLXX01,30.0
GLOBAL,PWRHYDFJIXX01,100.0
GLOBAL,PWRHYDNZLXX01,100.0
GLOBAL,PWRWONCHNSH01,30.0
GLOBAL,PWRWONMDAXX01,30.0
