REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWROCGKENXX01,CO2KEN,2037,0.12148633565315863
GLOBAL,PWROCGKENXX01,CO2KEN,2038,0.12831394672695828
GLOBAL,PWROCGKENXX01,CO2KEN,2039,0.13512953735872638
GLOBAL,PWROCGKENXX01,CO2KEN,2040,0.1419571484325263
GLOBAL,PWROCGKENXX01,CO2KEN,2041,0.150431560064619
GLOBAL,PWROCGKENXX01,CO2KEN,2042,0.15889395125468075
GLOBAL,PWROCGKENXX01,CO2KEN,2043,0.1673683628867735
GLOBAL,PWROCGKENXX01,CO2KEN,2044,0.17584277451886687
GLOBAL,PWROCGKENXX01,CO2KEN,2045,0.172886267398224
GLOBAL,PWROCGKENXX01,CO2KEN,2046,0.1835740699437482
GLOBAL,PWROCGKENXX01,CO2KEN,2047,0.1942739627636452
GLOBAL,PWROCGKENXX01,CO2KEN,2048,0.20793638036874657
GLOBAL,PWROCGKENXX01,CO2KEN,2049,0.21862418291427047
GLOBAL,PWROCGKENXX01,CO2KEN,2050,0.2293119854597942
GLOBAL,PWROCGTZAXX00,CO2TZA,2022,0.006267943549185781
GLOBAL,PWROCGTZAXX00,CO2TZA,2023,0.00811237899614772
GLOBAL,PWROCGTZAXX00,CO2TZA,2024,0.07923306074523147
GLOBAL,PWROCGTZAXX00,CO2TZA,2025,0.030893241928255936
GLOBAL,PWROCGTZAXX00,CO2TZA,2026,0.02662885494756241
GLOBAL,PWROCGTZAXX00,CO2TZA,2027,0.028496668898439173
GLOBAL,PWROCGTZAXX00,CO2TZA,2028,0.030306583467242694
GLOBAL,PWROCGTZAXX00,CO2TZA,2029,0.0302981849341259
GLOBAL,PWROCGTZAXX00,CO2TZA,2030,0.028515096258761294
GLOBAL,PWROCGTZAXX00,CO2TZA,2031,0.026432297137178897
GLOBAL,PWROCGTZAXX00,CO2TZA,2032,0.02836605071141926
GLOBAL,PWROCGTZAXX00,CO2TZA,2033,0.02902660907440846
GLOBAL,PWROCGTZAXX00,CO2TZA,2034,0.029695308923215133
GLOBAL,PWROCGTZAXX00,CO2TZA,2035,0.0304536930725956
GLOBAL,PWROCGTZAXX00,CO2TZA,2036,0.02782964262165023
GLOBAL,PWROCGTZAXX00,CO2TZA,2037,0.025340131233750278
GLOBAL,PWROCGTZAXX00,CO2TZA,2038,0.022868017263536926
GLOBAL,PWROCGTZAXX00,CO2TZA,2039,0.020398861812874255
GLOBAL,PWROCGTZAXX00,CO2TZA,2040,0.017926747842660715
GLOBAL,PWROCGTZAXX00,CO2TZA,2041,0.015526015757280002
GLOBAL,PWROCGTZAXX00,CO2TZA,2042,0.015526015757280002
GLOBAL,PWROCGTZAXX01,CO2TZA,2041,0.0006297808117110673
GLOBAL,PWROCGTZAXX01,CO2TZA,2042,0.00369359284534894
GLOBAL,PWROCGTZAXX01,CO2TZA,2043,0.022662678016569376
GLOBAL,PWROCGTZAXX01,CO2TZA,2044,0.02573038823549532
GLOBAL,PWROCGTZAXX01,CO2TZA,2045,0.04003725695260094
GLOBAL,PWROCGTZAXX01,CO2TZA,2046,0.04381127094155383
GLOBAL,PWROCGTZAXX01,CO2TZA,2047,0.0475882208951276
GLOBAL,PWROCGTZAXX01,CO2TZA,2048,0.05353272707801006
GLOBAL,PWROCGTZAXX01,CO2TZA,2049,0.057305846138137335
GLOBAL,PWROCGTZAXX01,CO2TZA,2050,0.061079860127089894
GLOBAL,PWROILKENXX01,CO2KEN,2021,0.04238811267989067
GLOBAL,PWROILKENXX01,CO2KEN,2022,0.05407263320038689
GLOBAL,PWROILKENXX01,CO2KEN,2023,0.03478166153034709
GLOBAL,PWROILKENXX01,CO2KEN,2024,0.03781672067410008
