YEAR,VALUE
2021,6.12
2022,5.94
2023,6.66
2024,4.35
2025,3.12
2026,4.2
2027,4.25
2028,4.29
2029,4.33
2030,2.62
2031,6.66
2032,4.65
2033,4.67
2034,4.69
2035,4.37
2036,8.18
2037,8.33
2038,7.52
2039,7.35
2040,7.2
2041,7.03
2042,7.07
2043,7.1
2044,7.12
2045,7.14
2046,7.16
2047,7.18
2048,7.24
2049,7.25
2050,7.26
