Metric,Unit,Value
Emissions,Million tonnes of CO2-eq.,14.0
Total system cost,Billion $,26.0
Cost of electricity,$/MWh,12.0
Fossil energy share,%,1.56
Renewable energy share,%,98.44
Clean energy share,%,98.44
