REGION,FUEL,YEAR,VALUE
GLOBAL,ELCTZAXX02,2024,67.98
GLOBAL,ELCKENXX02,2025,50.43
GLOBAL,ELCTZAXX02,2025,72.9
GLOBAL,ELCKENXX02,2026,54.69
GLOBAL,ELCTZAXX02,2026,79.15
GLOBAL,ELCKENXX02,2027,58.95
GLOBAL,ELCTZAXX02,2027,85.39
GLOBAL,ELCKENXX02,2028,63.21
GLOBAL,ELCTZAXX02,2028,91.64
GLOBAL,ELCKENXX02,2029,67.48
GLOBAL,ELCTZAXX02,2029,97.89
GLOBAL,ELCKENXX02,2030,71.74
GLOBAL,ELCTZAXX02,2030,104.14
GLOBAL,ELCKENXX02,2031,76.64
GLOBAL,ELCTZAXX02,2031,111.69
GLOBAL,ELCKENXX02,2032,81.55
GLOBAL,ELCTZAXX02,2032,119.25
GLOBAL,ELCKENXX02,2033,86.46
GLOBAL,ELCTZAXX02,2033,126.81
GLOBAL,ELCKENXX02,2034,91.37
GLOBAL,ELCTZAXX02,2034,134.36
GLOBAL,ELCKENXX02,2035,96.27
GLOBAL,ELCTZAXX02,2035,141.92
GLOBAL,ELCKENXX02,2036,101.95
GLOBAL,ELCTZAXX02,2036,150.9
GLOBAL,ELCKENXX02,2037,107.62
GLOBAL,ELCTZAXX02,2037,159.87
GLOBAL,ELCKENXX02,2038,113.3
GLOBAL,ELCTZAXX02,2038,168.85
GLOBAL,ELCKENXX02,2039,118.97
GLOBAL,ELCTZAXX02,2039,177.83
GLOBAL,ELCKENXX02,2040,124.65
GLOBAL,ELCTZAXX02,2040,186.81
GLOBAL,ELCKENXX02,2041,131.7
GLOBAL,ELCTZAXX02,2041,197.42
GLOBAL,ELCKENXX02,2042,138.74
GLOBAL,ELCTZAXX02,2042,208.03
GLOBAL,ELCKENXX02,2043,145.79
GLOBAL,ELCTZAXX02,2043,218.64
GLOBAL,ELCKENXX02,2044,152.84
GLOBAL,ELCTZAXX02,2044,229.26
GLOBAL,ELCKENXX02,2045,159.89
GLOBAL,ELCTZAXX02,2045,239.87
GLOBAL,ELCKENXX02,2046,168.73
GLOBAL,ELCTZAXX02,2046,253.04
GLOBAL,ELCKENXX02,2047,177.58
GLOBAL,ELCTZAXX02,2047,266.21
GLOBAL,ELCKENXX02,2048,186.42
GLOBAL,ELCTZAXX02,2048,279.38
GLOBAL,ELCKENXX02,2049,195.26
GLOBAL,ELCTZAXX02,2049,292.54
GLOBAL,ELCKENXX02,2050,204.1
GLOBAL,ELCTZAXX02,2050,305.71
GLOBAL,ELCTZAXX02,2021,32.0
GLOBAL,ELCTZAXX02,2022,35.0
GLOBAL,ELCTZAXX02,2023,40.0
GLOBAL,ELCKENXX02,2021,46.0
GLOBAL,ELCKENXX02,2022,48.0
GLOBAL,ELCKENXX02,2023,47.0
GLOBAL,ELCKENXX02,2024,49.0
