REGION,FUEL,YEAR,VALUE
GLOBAL,ELCKENXX01,2021,1
GLOBAL,ELCKENXX01,2022,1
GLOBAL,ELCKENXX01,2023,1
GLOBAL,ELCKENXX01,2024,1
GLOBAL,ELCKENXX01,2025,1
GLOBAL,ELCKENXX01,2026,1
GLOBAL,ELCKENXX01,2027,1
GLOBAL,ELCKENXX01,2028,1
GLOBAL,ELCKENXX01,2029,1
GLOBAL,ELCKENXX01,2030,1
GLOBAL,ELCKENXX01,2031,1
GLOBAL,ELCKENXX01,2032,1
GLOBAL,ELCKENXX01,2033,1
GLOBAL,ELCKENXX01,2034,1
GLOBAL,ELCKENXX01,2035,1
GLOBAL,ELCKENXX01,2036,1
GLOBAL,ELCKENXX01,2037,1
GLOBAL,ELCKENXX01,2038,1
GLOBAL,ELCKENXX01,2039,1
GLOBAL,ELCKENXX01,2040,1
GLOBAL,ELCKENXX01,2041,1
GLOBAL,ELCKENXX01,2042,1
GLOBAL,ELCKENXX01,2043,1
GLOBAL,ELCKENXX01,2044,1
GLOBAL,ELCKENXX01,2045,1
GLOBAL,ELCKENXX01,2046,1
GLOBAL,ELCKENXX01,2047,1
GLOBAL,ELCKENXX01,2048,1
GLOBAL,ELCKENXX01,2049,1
GLOBAL,ELCKENXX01,2050,1
GLOBAL,ELCTZAXX01,2021,1
GLOBAL,ELCTZAXX01,2022,1
GLOBAL,ELCTZAXX01,2023,1
GLOBAL,ELCTZAXX01,2024,1
GLOBAL,ELCTZAXX01,2025,1
GLOBAL,ELCTZAXX01,2026,1
GLOBAL,ELCTZAXX01,2027,1
GLOBAL,ELCTZAXX01,2028,1
GLOBAL,ELCTZAXX01,2029,1
GLOBAL,ELCTZAXX01,2030,1
GLOBAL,ELCTZAXX01,2031,1
GLOBAL,ELCTZAXX01,2032,1
GLOBAL,ELCTZAXX01,2033,1
GLOBAL,ELCTZAXX01,2034,1
GLOBAL,ELCTZAXX01,2035,1
GLOBAL,ELCTZAXX01,2036,1
GLOBAL,ELCTZAXX01,2037,1
GLOBAL,ELCTZAXX01,2038,1
GLOBAL,ELCTZAXX01,2039,1
GLOBAL,ELCTZAXX01,2040,1
GLOBAL,ELCTZAXX01,2041,1
GLOBAL,ELCTZAXX01,2042,1
GLOBAL,ELCTZAXX01,2043,1
GLOBAL,ELCTZAXX01,2044,1
GLOBAL,ELCTZAXX01,2045,1
GLOBAL,ELCTZAXX01,2046,1
GLOBAL,ELCTZAXX01,2047,1
GLOBAL,ELCTZAXX01,2048,1
GLOBAL,ELCTZAXX01,2049,1
GLOBAL,ELCTZAXX01,2050,1
