REGION,FUEL,YEAR,VALUE
GLOBAL,T07KENXX,2035,14.440499999999998
GLOBAL,T07KENXX,2036,15.2925
GLOBAL,T07KENXX,2037,16.143
GLOBAL,T07KENXX,2038,16.994999999999997
GLOBAL,T07KENXX,2039,17.845499999999998
GLOBAL,T07KENXX,2040,18.6975
GLOBAL,T07KENXX,2041,19.755
GLOBAL,T07KENXX,2042,20.811
GLOBAL,T07KENXX,2043,21.8685
GLOBAL,T07KENXX,2044,22.926
GLOBAL,T07KENXX,2045,23.9835
GLOBAL,T07KENXX,2046,25.3095
GLOBAL,T07KENXX,2047,26.637
GLOBAL,T07KENXX,2048,27.963
GLOBAL,T07KENXX,2049,29.289
GLOBAL,T07KENXX,2050,30.615
GLOBAL,T08KENXX,2036,20.39
GLOBAL,T08KENXX,2037,21.524
GLOBAL,T08KENXX,2038,22.66
GLOBAL,T08KENXX,2039,23.794
GLOBAL,T08KENXX,2040,24.930000000000003
GLOBAL,T08KENXX,2041,26.34
GLOBAL,T08KENXX,2042,27.748000000000005
GLOBAL,T08KENXX,2043,29.158
GLOBAL,T08KENXX,2044,30.568
GLOBAL,T08KENXX,2045,31.978
GLOBAL,T08KENXX,2046,33.746
GLOBAL,T08KENXX,2047,35.516000000000005
GLOBAL,T08KENXX,2048,37.284
GLOBAL,T08KENXX,2049,39.052
GLOBAL,T08KENXX,2050,40.82
