REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSTZAXX01,2032,52694.444444444445
GLOBAL,LDSTZAXX01,2033,52694.444444444445
GLOBAL,LDSTZAXX01,2034,52694.444444444445
GLOBAL,LDSTZAXX01,2035,52694.444444444445
GLOBAL,LDSTZAXX01,2036,52694.444444444445
GLOBAL,LDSTZAXX01,2037,52694.444444444445
GLOBAL,LDSTZAXX01,2038,52694.444444444445
GLOBAL,LDSTZAXX01,2039,52694.444444444445
GLOBAL,LDSTZAXX01,2040,52694.444444444445
GLOBAL,LDSTZAXX01,2041,52694.444444444445
GLOBAL,LDSTZAXX01,2042,52694.444444444445
GLOBAL,LDSTZAXX01,2043,52694.444444444445
GLOBAL,LDSTZAXX01,2044,52694.444444444445
GLOBAL,LDSTZAXX01,2045,52694.444444444445
GLOBAL,LDSTZAXX01,2046,52694.444444444445
GLOBAL,LDSTZAXX01,2047,52694.444444444445
GLOBAL,LDSTZAXX01,2048,52694.444444444445
GLOBAL,LDSTZAXX01,2049,52694.444444444445
GLOBAL,LDSTZAXX01,2050,52694.444444444445
