Metric,Unit,Value
Emissions,Million tonnes of CO2-eq.,81.0
Total system cost,Billion $,30.0
Cost of electricity,$/MWh,14.0
Fossil energy share,%,10.08
Renewable energy share,%,89.92
Clean energy share,%,89.92
