TECH,NODE,YEAR,VALUE
BIO,KENXX,2021,0.09
BIO,KENXX,2022,0.09
BIO,KENXX,2023,0.09
BIO,KENXX,2024,0.09
BIO,KENXX,2025,0.09
BIO,KENXX,2026,0.09
BIO,KENXX,2027,0.09
BIO,KENXX,2028,0.09
BIO,KENXX,2029,0.09
BIO,KENXX,2030,0.09
BIO,KENXX,2031,0.09
BIO,TZAXX,2021,0.07
BIO,TZAXX,2022,0.07
BIO,TZAXX,2023,0.07
BIO,TZAXX,2024,0.07
BIO,TZAXX,2025,0.07
BIO,TZAXX,2026,0.07
BIO,TZAXX,2027,0.07
BIO,TZAXX,2028,0.07
BIO,TZAXX,2029,0.07
BIO,TZAXX,2030,0.07
BIO,TZAXX,2031,0.07
CCG,KENXX,2023,0.0058924565696763
CCG,KENXX,2024,0.0170571935917495
CCG,KENXX,2025,0.0292629433051314
CCG,KENXX,2026,0.0458752416370831
CCG,KENXX,2027,0.0624875399690345
CCG,KENXX,2028,0.0790998383009857
CCG,KENXX,2029,0.0938797547131027
CCG,KENXX,2030,0.0938797547131027
CCG,KENXX,2031,0.0938797547131027
CCG,KENXX,2032,0.0938797547131027
CCG,KENXX,2033,0.0938797547131027
CCG,KENXX,2034,0.4434424795695192
CCG,KENXX,2035,0.581802213069472
CCG,KENXX,2036,0.742186557208192
CCG,KENXX,2037,0.9022885345438512
CCG,KENXX,2038,1.0626728786825712
CCG,KENXX,2039,1.22277485601823
CCG,KENXX,2040,1.3831592001569508
CCG,KENXX,2041,1.5822277963150446
CCG,KENXX,2042,1.78129639247314
CCG,KENXX,2043,1.980082621828174
CCG,KENXX,2044,2.179151217986268
CCG,KENXX,2045,2.518219814144364
CCG,KENXX,2046,3.0468320680504
CCG,KENXX,2047,3.2967266887594966
CCG,KENXX,2048,3.6140739426655344
CCG,KENXX,2049,3.8636861965715714
CCG,KENXX,2050,4.113580817280668
CCG,TZAXX,2021,0.6305620646071176
CCG,TZAXX,2022,0.8111494104697428
CCG,TZAXX,2023,0.986190217411724
CCG,TZAXX,2024,1.064024852301815
CCG,TZAXX,2025,1.0102438415250414
CCG,TZAXX,2026,1.1028573395981758
CCG,TZAXX,2027,1.1953226560743933
CCG,TZAXX,2028,1.2879361541475278
CCG,TZAXX,2029,1.3805496522206624
CCG,TZAXX,2030,1.473163150293797
CCG,TZAXX,2031,1.5850402559661436
CCG,TZAXX,2032,1.7670655432354074
CCG,TZAXX,2033,1.8790908305046703
CCG,TZAXX,2034,1.9909679361770167
CCG,TZAXX,2035,2.1029932234462807
CCG,TZAXX,2036,2.236060297477761
CCG,TZAXX,2037,2.36912737150924
CCG,TZAXX,2038,2.502046263943804
CCG,TZAXX,2039,2.635113337975283
CCG,TZAXX,2040,2.768180412006763
CCG,TZAXX,2041,2.925401086335716
CCG,TZAXX,2042,3.082769942261585
CCG,TZAXX,2043,3.2399906165905383
CCG,TZAXX,2044,3.397211290919492
CCG,TZAXX,2045,3.5544319652484444
CCG,TZAXX,2046,3.7495871283881534
CCG,TZAXX,2047,3.944742291527864
CCG,TZAXX,2048,4.139897454667572
CCG,TZAXX,2049,4.335052617807278
CCG,TZAXX,2050,4.530207780946988
GEO,KENXX,2021,0.754
GEO,KENXX,2022,0.754
GEO,KENXX,2023,0.754
GEO,KENXX,2024,0.754
GEO,KENXX,2025,0.754
GEO,KENXX,2026,0.754
GEO,KENXX,2027,0.754
GEO,KENXX,2028,0.754
GEO,KENXX,2029,0.754
GEO,KENXX,2030,0.754
GEO,KENXX,2031,0.754
GEO,KENXX,2032,0.754
GEO,KENXX,2033,0.754
GEO,KENXX,2034,0.419
GEO,KENXX,2035,0.419
GEO,KENXX,2036,0.419
GEO,KENXX,2037,0.419
GEO,KENXX,2038,0.419
GEO,KENXX,2039,0.419
GEO,KENXX,2040,0.419
GEO,KENXX,2041,0.419
GEO,KENXX,2042,0.419
GEO,KENXX,2043,0.419
GEO,KENXX,2044,0.419
GEO,KENXX,2045,0.279
HYD,KENXX,2021,0.9831123121696372
HYD,KENXX,2022,1.2149649017332724
HYD,KENXX,2023,1.4445462634970656
HYD,KENXX,2024,1.683929289920099
HYD,KENXX,2025,1.912611603556496
HYD,KENXX,2026,2.223853346716576
HYD,KENXX,2027,2.5350950898766555
