YEAR,VALUE
2021,21.15
2022,20.34
2023,19.96
2024,20.2
2025,20.25
2026,20.51
2027,20.73
2028,20.93
2029,21.11
2030,21.82
2031,22.13
2032,23.88
2033,22.14
2034,26.05
2035,27.39
2036,29.56
2037,31.48
2038,33.21
2039,34.77
2040,36.18
2041,37.75
2042,39.17
2043,40.45
2044,41.61
2045,44.0
2046,47.64
2047,48.54
2048,49.92
2049,50.63
2050,51.29
