REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,MINGASINT,GASINT,2021,10.692869079098049
GLOBAL,MINGASINT,GASINT,2022,11.186493681699027
GLOBAL,MINGASINT,GASINT,2023,11.867153112695568
GLOBAL,MINGASINT,GASINT,2024,12.909937238595607
GLOBAL,MINGASINT,GASINT,2025,13.848330872081181
GLOBAL,MINGASINT,GASINT,2026,15.220171323331098
GLOBAL,MINGASINT,GASINT,2027,16.590070214087387
GLOBAL,MINGASINT,GASINT,2028,17.969236185374523
GLOBAL,MINGASINT,GASINT,2029,19.3543581078383
GLOBAL,MINGASINT,GASINT,2030,21.280245105929772
GLOBAL,MINGASINT,GASINT,2031,23.115022413448298
GLOBAL,MINGASINT,GASINT,2032,26.584792678509558
GLOBAL,MINGASINT,GASINT,2033,26.178998613293224
GLOBAL,MINGASINT,GASINT,2034,32.60470245910949
GLOBAL,MINGASINT,GASINT,2035,36.17766122305767
GLOBAL,MINGASINT,GASINT,2036,41.43951665675669
GLOBAL,MINGASINT,GASINT,2037,46.69537209045572
GLOBAL,MINGASINT,GASINT,2038,51.95516309716845
GLOBAL,MINGASINT,GASINT,2039,57.21101853086746
GLOBAL,MINGASINT,GASINT,2040,62.47287396456651
GLOBAL,MINGASINT,GASINT,2041,68.89323099703273
GLOBAL,MINGASINT,GASINT,2042,75.31565245648524
GLOBAL,MINGASINT,GASINT,2043,81.73000948895145
GLOBAL,MINGASINT,GASINT,2044,88.15036652141768
GLOBAL,MINGASINT,GASINT,2045,97.5137892178839
GLOBAL,MINGASINT,GASINT,2046,111.40174898924339
GLOBAL,MINGASINT,GASINT,2047,119.43059933020287
GLOBAL,MINGASINT,GASINT,2048,128.92609033130634
GLOBAL,MINGASINT,GASINT,2049,136.9489406722658
GLOBAL,MINGASINT,GASINT,2050,144.9777910132253
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2021,1.4189780879999998
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2022,1.4189780880000005
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2023,1.418978088
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2024,1.4189780880000002
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2025,1.4189780880000002
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2026,1.418978088
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2027,1.4189780879999998
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2028,1.4189780879999998
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2029,1.418978088
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2030,1.418978088
GLOBAL,PWRBIOKENXX01,ELCKENXX01,2031,1.4189780879999998
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2021,1.1036496240000009
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2022,1.1036496240000002
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2023,1.1036496240000002
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2024,1.1036496240000002
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2025,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2026,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2027,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2028,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2029,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2030,1.103649624
GLOBAL,PWRBIOTZAXX01,ELCTZAXX01,2031,1.103649624
GLOBAL,PWRCCGKENXX01,ELCKENXX01,2023,0.02086809251582134
