REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S3D1,ELCKENXX02,2036,12.234
GLOBAL,S3D2,ELCKENXX02,2036,13.2535
GLOBAL,S3D3,ELCKENXX02,2036,10.195
GLOBAL,S1D1,ELCKENXX02,2037,11.8382
GLOBAL,S1D2,ELCKENXX02,2037,12.9144
GLOBAL,S1D3,ELCKENXX02,2037,10.762
GLOBAL,S2D1,ELCKENXX02,2037,11.8382
GLOBAL,S2D2,ELCKENXX02,2037,12.9144
GLOBAL,S2D3,ELCKENXX02,2037,10.762
GLOBAL,S3D1,ELCKENXX02,2037,12.9144
GLOBAL,S3D2,ELCKENXX02,2037,13.9906
GLOBAL,S3D3,ELCKENXX02,2037,10.762
GLOBAL,S1D1,ELCKENXX02,2038,12.463
GLOBAL,S1D2,ELCKENXX02,2038,13.595999999999998
GLOBAL,S1D3,ELCKENXX02,2038,11.33
GLOBAL,S2D1,ELCKENXX02,2038,12.463
GLOBAL,S2D2,ELCKENXX02,2038,13.595999999999998
GLOBAL,S2D3,ELCKENXX02,2038,11.33
GLOBAL,S3D1,ELCKENXX02,2038,13.595999999999998
GLOBAL,S3D2,ELCKENXX02,2038,14.729000000000001
GLOBAL,S3D3,ELCKENXX02,2038,11.33
GLOBAL,S1D1,ELCKENXX02,2039,13.0867
GLOBAL,S1D2,ELCKENXX02,2039,14.276399999999999
GLOBAL,S1D3,ELCKENXX02,2039,11.897
GLOBAL,S2D1,ELCKENXX02,2039,13.0867
GLOBAL,S2D2,ELCKENXX02,2039,14.276399999999999
GLOBAL,S2D3,ELCKENXX02,2039,11.897
GLOBAL,S3D1,ELCKENXX02,2039,14.276399999999999
GLOBAL,S3D2,ELCKENXX02,2039,15.4661
GLOBAL,S3D3,ELCKENXX02,2039,11.897
GLOBAL,S1D1,ELCKENXX02,2040,13.711500000000001
GLOBAL,S1D2,ELCKENXX02,2040,14.958
GLOBAL,S1D3,ELCKENXX02,2040,12.465000000000002
GLOBAL,S2D1,ELCKENXX02,2040,13.711500000000001
GLOBAL,S2D2,ELCKENXX02,2040,14.958
GLOBAL,S2D3,ELCKENXX02,2040,12.465000000000002
GLOBAL,S3D1,ELCKENXX02,2040,14.958
GLOBAL,S3D2,ELCKENXX02,2040,16.204500000000003
GLOBAL,S3D3,ELCKENXX02,2040,12.465000000000002
GLOBAL,S1D1,ELCKENXX02,2041,14.486999999999998
GLOBAL,S1D2,ELCKENXX02,2041,15.803999999999998
GLOBAL,S1D3,ELCKENXX02,2041,13.17
GLOBAL,S2D1,ELCKENXX02,2041,14.486999999999998
GLOBAL,S2D2,ELCKENXX02,2041,15.803999999999998
GLOBAL,S2D3,ELCKENXX02,2041,13.17
GLOBAL,S3D1,ELCKENXX02,2041,15.803999999999998
GLOBAL,S3D2,ELCKENXX02,2041,17.121
GLOBAL,S3D3,ELCKENXX02,2041,13.17
GLOBAL,S1D1,ELCKENXX02,2042,15.2625
GLOBAL,S1D2,ELCKENXX02,2042,16.65
GLOBAL,S1D3,ELCKENXX02,2042,13.875
GLOBAL,S2D1,ELCKENXX02,2042,15.2625
GLOBAL,S2D2,ELCKENXX02,2042,16.65
GLOBAL,S2D3,ELCKENXX02,2042,13.875
GLOBAL,S3D1,ELCKENXX02,2042,16.65
GLOBAL,S3D2,ELCKENXX02,2042,18.0375
GLOBAL,S3D3,ELCKENXX02,2042,13.875
GLOBAL,S1D1,ELCKENXX02,2043,16.0369
GLOBAL,S1D2,ELCKENXX02,2043,17.494799999999998
GLOBAL,S1D3,ELCKENXX02,2043,14.579
GLOBAL,S2D1,ELCKENXX02,2043,16.0369
GLOBAL,S2D2,ELCKENXX02,2043,17.494799999999998
GLOBAL,S2D3,ELCKENXX02,2043,14.579
GLOBAL,S3D1,ELCKENXX02,2043,17.494799999999998
GLOBAL,S3D2,ELCKENXX02,2043,18.9527
GLOBAL,S3D3,ELCKENXX02,2043,14.579
GLOBAL,S1D1,ELCKENXX02,2044,16.8124
GLOBAL,S1D2,ELCKENXX02,2044,18.340799999999998
GLOBAL,S1D3,ELCKENXX02,2044,15.284
GLOBAL,S2D1,ELCKENXX02,2044,16.8124
GLOBAL,S2D2,ELCKENXX02,2044,18.340799999999998
GLOBAL,S2D3,ELCKENXX02,2044,15.284
GLOBAL,S3D1,ELCKENXX02,2044,18.340799999999998
GLOBAL,S3D2,ELCKENXX02,2044,19.869200000000003
